Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
18/06/2009,6.78
17/06/2009,6.88
16/06/2009,6.62
15/06/2009,6.87
12/06/2009,7.3
11/06/2009,7.39
10/06/2009,7.22
09/06/2009,7.45
08/06/2009,7.27
05/06/2009,7.18
04/06/2009,7.01
03/06/2009,7.01
02/06/2009,7.01
01/06/2009,7.07
29/05/2009,7.2
28/05/2009,7.09
27/05/2009,7.11
26/05/2009,7.57
25/05/2009,7.39
22/05/2009,6.57
21/05/2009,6.13
20/05/2009,6.37
19/05/2009,6.45
18/05/2009,6.29
15/05/2009,6.04
14/05/2009,6
13/05/2009,5.83
12/05/2009,5.94
11/05/2009,6.28
08/05/2009,6.26
07/05/2009,6.23
06/05/2009,6.4
05/05/2009,6.09
04/05/2009,5.65
30/04/2009,5.47
29/04/2009,5.65
28/04/2009,5.5
27/04/2009,5.82
24/04/2009,6.38
23/04/2009,6.24
22/04/2009,5.56
21/04/2009,5.35
20/04/2009,5.21
17/04/2009,5.38
16/04/2009,5.28
15/04/2009,5.33
14/04/2009,5.26
13/04/2009,5.57
08/04/2009,5.06
07/04/2009,4.97
06/04/2009,4.93
03/04/2009,4.88
02/04/2009,4.88
01/04/2009,4.29
31/03/2009,4.05
30/03/2009,3.78
27/03/2009,3.97
26/03/2009,3.93
25/03/2009,3.94
24/03/2009,4.03
23/03/2009,3.93
20/03/2009,3.75
19/03/2009,3.75
18/03/2009,3.9
17/03/2009,3.72
13/03/2009,3.59
12/03/2009,3.42
11/03/2009,3.12
10/03/2009,3.2
09/03/2009,3.24
06/03/2009,3.31
05/03/2009,3.68
04/03/2009,3.76
03/03/2009,3.76
02/03/2009,3.88
27/02/2009,4.13
26/02/2009,4.37
25/02/2009,4.35
24/02/2009,4.31
23/02/2009,4.43
20/02/2009,4.46
19/02/2009,4.56
18/02/2009,4.57
17/02/2009,4.48
16/02/2009,4.67
13/02/2009,4.71
12/02/2009,4.71
11/02/2009,4.69
10/02/2009,4.78
09/02/2009,4.82
06/02/2009,4.88
05/02/2009,4.9
04/02/2009,4.87
03/02/2009,4.64
30/01/2009,4.84
29/01/2009,4.98
28/01/2009,5.02
27/01/2009,5.07
26/01/2009,5.13
23/01/2009,5.26
22/01/2009,5.33
21/01/2009,5.28
20/01/2009,5.2
19/01/2009,5.25
16/01/2009,5.22
15/01/2009,5.34
14/01/2009,5.54
13/01/2009,5.55
12/01/2009,5.66
09/01/2009,5.92
08/01/2009,5.81
07/01/2009,5.94
06/01/2009,6.01
05/01/2009,6.19
02/01/2009,6.22
31/12/2008,6.07
30/12/2008,6.3
29/12/2008,6.32
26/12/2008,6.48
24/12/2008,6.42
23/12/2008,6.42
22/12/2008,6.36
