Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
22/03/2016,26.51
18/03/2016,26.91
17/03/2016,26.43
16/03/2016,26.55
15/03/2016,26.83
14/03/2016,26.85
11/3/2016,26.35
10/3/2016,26.55
9/3/2016,26.31
8/3/2016,26.36
7/3/2016,27.07
4/3/2016,26.84
3/3/2016,26.24
2/3/2016,26.25
1/3/2016,26.45
29/02/2016,27.05
26/02/2016,26.51
25/02/2016,26.23
24/02/2016,26.17
23/02/2016,25.16
22/02/2016,25.41
19/02/2016,25.59
18/02/2016,25.27
17/02/2016,24.46
16/02/2016,24.21
15/02/2016,24.38
12/2/2016,24.4
11/2/2016,24.1
10/2/2016,24.3
9/2/2016,24.27
8/2/2016,23.63
5/2/2016,24
4/2/2016,24.12
3/2/2016,23.99
2/2/2016,23.08
29/01/2016,23.3
28/01/2016,22.86
27/01/2016,22.68
26/01/2016,22.76
25/01/2016,23
22/01/2016,23.36
21/01/2016,22.56
20/01/2016,21.99
19/01/2016,22.72
18/01/2016,22.42
15/01/2016,22.4
14/01/2016,22.31
13/01/2016,22.28
12/1/2016,21.77
11/1/2016,22.38
8/1/2016,22.75
7/1/2016,22.26
6/1/2016,22.52
5/1/2016,23.52
4/1/2016,23.86
31/12/2015,24.19
30/12/2015,24.51
29/12/2015,24.55
28/12/2015,24.1
24/12/2015,24.15
23/12/2015,24.05
22/12/2015,24.24
21/12/2015,24.29
18/12/2015,24.89
17/12/2015,24.99
16/12/2015,23.91
15/12/2015,23.97
14/12/2015,23.68
11/12/2015,24.2
10/12/2015,24.53
9/12/2015,23.59
8/12/2015,24.04
7/12/2015,24.42
4/12/2015,24.98
3/12/2015,25.78
2/12/2015,26.28
1/12/2015,25.85
30/11/2015,26.39
27/11/2015,25.74
26/11/2015,26.34
25/11/2015,26.65
24/11/2015,26.11
23/11/2015,26.28
20/11/2015,26.67
19/11/2015,26.42
18/11/2015,26.28
17/11/2015,25.34
13/11/2015,24.71
12/11/2015,24.7
11/11/2015,24.34
10/11/2015,24.48
9/11/2015,24.04
6/11/2015,24.44
5/11/2015,24.04
4/11/2015,23.99
3/11/2015,23.96
30/10/2015,23.85
29/10/2015,23.49
28/10/2015,23.78
27/10/2015,22.82
26/10/2015,23.84
23/10/2015,23.85
22/10/2015,23.88
21/10/2015,23.64
20/10/2015,23.7
19/10/2015,23.85
16/10/2015,23.43
15/10/2015,23
14/10/2015,23.7
13/10/2015,23.52
12/10/2015,23.13
9/10/2015,22.98
8/10/2015,22.32
7/10/2015,22.26
6/10/2015,21.93
5/10/2015,22.05
2/10/2015,21.5
1/10/2015,21.41
30/09/2015,21.72
29/09/2015,21.08
28/09/2015,21.29
25/09/2015,22.28
24/09/2015,21.97
23/09/2015,22.17
22/09/2015,21.74
21/09/2015,22.11
18/09/2015,22.22
17/09/2015,22.69
15/09/2015,21.6
14/09/2015,22.25
11/9/2015,22.16
10/9/2015,22.16
9/9/2015,21.26
8/9/2015,21.29
7/9/2015,21.39
4/9/2015,21.73
3/9/2015,21.46
2/9/2015,20.88
1/9/2015,20.79
31/08/2015,20.94
28/08/2015,20.1
27/08/2015,20.64
26/08/2015,20.47
25/08/2015,20.85
24/08/2015,20.67
21/08/2015,21.18
20/08/2015,21.23
19/08/2015,21.17
18/08/2015,21.64
17/08/2015,21.68
14/08/2015,21.92
13/08/2015,21.51
12/8/2015,21.88
11/8/2015,21.77
10/8/2015,21.91
7/8/2015,21.74
6/8/2015,21.6
5/8/2015,22
4/8/2015,22.32
3/8/2015,22.52
31/07/2015,22.18
30/07/2015,22.03
29/07/2015,22.7
28/07/2015,23.17
27/07/2015,22.8
24/07/2015,22.85
23/07/2015,23.07
22/07/2015,23.57
21/07/2015,23.22
20/07/2015,22.29
17/07/2015,22.09
16/07/2015,22.43
15/07/2015,22.3
14/07/2015,22.37
13/07/2015,22.6
10/7/2015,22.94
9/7/2015,22.86
8/7/2015,22.99
7/7/2015,23.05
6/7/2015,22.99
3/7/2015,23.2
2/7/2015,22.74
1/7/2015,22.8
30/06/2015,22.93
29/06/2015,22.58
26/06/2015,22.95
25/06/2015,22.74
24/06/2015,22.56
23/06/2015,22.84
22/06/2015,21.84
19/06/2015,21.42
18/06/2015,21.14
17/06/2015,21.21
16/06/2015,21.25
15/06/2015,20.94
12/6/2015,21.18
11/6/2015,21.6
10/6/2015,22.34
9/6/2015,22.77
8/6/2015,23.05
5/6/2015,23.01
4/6/2015,23.08
3/6/2015,21.88
2/6/2015,21.94
1/6/2015,21.74
29/05/2015,21.58
28/05/2015,21.97
27/05/2015,22.08
26/05/2015,21.77
25/05/2015,22.29
22/05/2015,21.95
21/05/2015,22.06
20/05/2015,21.91
19/05/2015,21.92
18/05/2015,22.35
15/05/2015,21.75
14/05/2015,21.97
13/05/2015,21.24
12/5/2015,20.84
11/5/2015,20.84
8/5/2015,21.32
7/5/2015,20.9
6/5/2015,20.9
5/5/2015,20.8
4/5/2015,21.23
30/04/2015,20.68
29/04/2015,20.69
28/04/2015,20.64
27/04/2015,20.9
24/04/2015,21.19
23/04/2015,20.06
22/04/2015,20
21/04/2015,19.93
20/04/2015,19.86
17/04/2015,19.64
16/04/2015,19.7
15/04/2015,19.31
14/04/2015,19.47
13/04/2015,18.66
10/4/2015,18.49
9/4/2015,18.39
8/4/2015,18.12
