Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
08/12/2006;11,73;50716400
07/12/2006;11,69;61267600
06/12/2006;11,66;71810600
05/12/2006;11,79;76347800
04/12/2006;11,63;46686400
30/11/2006;11,59;76982200
29/11/2006;11,59;83692200
28/11/2006;11,3;80414400
27/11/2006;11,32;54269000
24/11/2006;11,6;21478000
23/11/2006;11,68;5287200
22/11/2006;11,67;41527000
21/11/2006;11,59;95148600
17/11/2006;11,21;60831600
16/11/2006;11,28;59476200
15/11/2006;11,2;41984000
14/11/2006;11,27;110720400
13/11/2006;11,23;49766800
10/11/2006;11,03;84642400
09/11/2006;11,09;98030200
08/11/2006;11,25;123135200
07/11/2006;11,21;113570400
06/11/2006;11,15;78451000
03/11/2006;10,78;87584000
01/11/2006;10,87;75465000
31/10/2006;10,94;107903600
30/10/2006;10,48;127648600
27/10/2006;10,82;89496800
26/10/2006;11,31;74108200
25/10/2006;11,21;47808400
24/10/2006;11,21;53961000
23/10/2006;11,21;49891600
20/10/2006;11,14;47503400
19/10/2006;11;53870000
18/10/2006;10,89;41184400
17/10/2006;10,78;55994800
16/10/2006;10,9;42328400
13/10/2006;10,82;79298800
12/10/2006;10,67;77236200
11/10/2006;10,51;67706200
10/10/2006;10,56;48589600
09/10/2006;10,52;37544200
06/10/2006;10,54;59671000
05/10/2006;10,54;81061000
04/10/2006;10,44;104677600
03/10/2006;10,11;68284600
02/10/2006;10,1;66072800
29/09/2006;10,3;58306000
28/09/2006;10,21;74952200
27/09/2006;10,15;89475200
26/09/2006;10,12;70470200
25/09/2006;10,02;75538600
22/09/2006;9,97;72837400
21/09/2006;10,08;72602200
20/09/2006;10,22;97666600
19/09/2006;10,12;72583200
18/09/2006;10,1;80075800
15/09/2006;9,92;75763200
14/09/2006;9,83;40583600
13/09/2006;9,91;58572800
12/09/2006;9,81;80859400
11/09/2006;9,57;70346400
08/09/2006;9,54;38087000
07/09/2006;9,53;86703000
06/09/2006;9,53;87327000
05/09/2006;9,81;68966800
04/09/2006;9,96;13252600
01/09/2006;9,89;60792800
31/08/2006;9,67;130495400
30/08/2006;9,97;87029600
29/08/2006;9,87;87551600
28/08/2006;9,75;75172800
25/08/2006;9,63;60848000
24/08/2006;9,5;65606000
23/08/2006;9,49;85841400
22/08/2006;9,68;46641800
21/08/2006;9,63;47621800
18/08/2006;9,77;43047800
17/08/2006;9,75;80260200
16/08/2006;9,68;67223800
15/08/2006;9,55;43982200
14/08/2006;9,44;43260200
11/08/2006;9,38;44779200
10/08/2006;9,28;48436200
09/08/2006;9,22;59952000
08/08/2006;9,2;48241800
07/08/2006;9,29;57489000
04/08/2006;9,24;53534400
03/08/2006;9,25;47933800
02/08/2006;9,25;34023800
01/08/2006;9,15;45256000
31/07/2006;9,28;59250000
28/07/2006;9,3;93166400
27/07/2006;9,22;168490800
26/07/2006;8,87;114193000
25/07/2006;9,15;99435000
24/07/2006;9,08;65497000
21/07/2006;8,8;66682800
20/07/2006;8,92;71124000
19/07/2006;9,08;112423200
18/07/2006;8,53;63502200
17/07/2006;8,27;43212200
14/07/2006;8,17;72394200
13/07/2006;8,42;92399600
12/07/2006;8,72;53422800
11/07/2006;8,87;82548600
10/07/2006;8,89;62101800
07/07/2006;9,12;49551600
06/07/2006;9,34;90219000
05/07/2006;9,03;111561600
04/07/2006;9,53;43489800
03/07/2006;9,35;97197400
30/06/2006;8,96;101066400
29/06/2006;8,98;104850000
28/06/2006;8,54;42820000
27/06/2006;8,48;46078200
26/06/2006;8,77;43880800
23/06/2006;8,87;52605800
22/06/2006;8,73;52874400
21/06/2006;8,64;90423200
20/06/2006;8,25;60955000
19/06/2006;7,96;67782000
16/06/2006;8,23;95042200
15/06/2006;8,22;135615400
14/06/2006;7,57;110550400
13/06/2006;7,72;114557000
12/06/2006;7,89;82605000
09/06/2006;8,2;79657600
08/06/2006;8,6;145156600
07/06/2006;8,52;86648000
06/06/2006;8,73;93995000
05/06/2006;8,84;50583000
02/06/2006;9,2;103296200
01/06/2006;9;91089600
31/05/2006;8,72;186395000
30/05/2006;8,69;70298800
29/05/2006;9,1;10295800
26/05/2006;9,18;66615400
25/05/2006;9,03;67294800
24/05/2006;8,78;101766600
23/05/2006;8,86;101877400
22/05/2006;9,07;165293800
19/05/2006;9,65;81022400
18/05/2006;9,62;96846600
17/05/2006;9,64;79832200
16/05/2006;9,88;43370400
15/05/2006;9,74;48653200
12/05/2006;10;76689600
11/05/2006;10,18;59032600
10/05/2006;10,52;26242200
09/05/2006;10,57;48489200
08/05/2006;10,45;51143200
05/05/2006;10,18;69115600
04/05/2006;10,26;100569000
03/05/2006;10,17;101195800
02/05/2006;9,95;82233800
28/04/2006;9,71;35424000
27/04/2006;9,55;32785800
26/04/2006;9,65;79066600
25/04/2006;9,42;45680400
24/04/2006;9,31;33430400
21/04/2006;9,25;70346600
20/04/2006;9,06;52515000
19/04/2006;8,97;40465200
18/04/2006;8,99;48656400
17/04/2006;9;76690000
12/04/2006;8,67;29317800
11/04/2006;8,67;46370200
10/04/2006;8,7;26264800
07/04/2006;8,69;79009200
06/04/2006;9;57797400
05/04/2006;9,08;43785000
04/04/2006;9,02;56248200
03/04/2006;9,06;85202400
31/03/2006;8,82;56942400
30/03/2006;8,78;37437200
29/03/2006;8,78;68984000
28/03/2006;8,76;44455000
27/03/2006;8,87;19849400
24/03/2006;8,93;42712600
23/03/2006;8,9;37774600
22/03/2006;9,05;48640000
20/03/2006;9,14;36889800
17/03/2006;9,01;69790800
16/03/2006;8,84;67414600
15/03/2006;8,82;66062200
14/03/2006;8,85;76337600
13/03/2006;8,68;42009200
10/03/2006;8,45;49227200
09/03/2006;8,49;67172800
08/03/2006;8,48;101362000
07/03/2006;8,61;134564400
06/03/2006;8,83;74863600
03/03/2006;8,85;24715000
02/03/2006;8,86;38368000
01/03/2006;8,85;67762200
28/02/2006;8,63;76952600
27/02/2006;8,66;35536800
24/02/2006;8,89;27044800
23/02/2006;8,83;73807800
22/02/2006;8,61;45818200
21/02/2006;8,44;33850400
20/02/2006;8,49;3126400
17/02/2006;8,48;29410400
16/02/2006;8,55;75626200
15/02/2006;8,36;86472800
14/02/2006;8,19;59211200
13/02/2006;8,15;89706400
10/02/2006;8,39;61630000
09/02/2006;8,37;48511400
08/02/2006;8,44;166373000
07/02/2006;8,2;64977400
03/02/2006;8,22;70574800
02/02/2006;8,33;66905400
01/02/2006;8,48;77548000
31/01/2006;8,39;50858200
30/01/2006;8,38;62096800
27/01/2006;8,47;64315400
26/01/2006;8,65;67200000
25/01/2006;8,37;59084400
24/01/2006;8,41;117698200
23/01/2006;8,05;58707200
