index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
10,<function elu at 0x0000000008D556A8>,1000,4.571667877377748,100,0.001,"[0.6701570749282837, 1.393611192703247, 1.2380657196044922, 2.437760591506958, -0.15357856452465057, -0.04152481257915497, -2.203946590423584, 1.061434030532837, 3.7110061645507812, 7.759665489196777, 10.441046714782715, 7.883959770202637, 7.296024799346924, 7.745077610015869]",4.571667877377748
119,<function relu at 0x0000000008D4B400>,1000,4.591077443798203,500,0.0005,"[0.7448928952217102, 1.2440316677093506, 1.0664875507354736, 2.5681064128875732, 2.9189741611480713, 4.648792743682861, 4.666470050811768, 3.8377697467803955, 5.44968318939209, 6.554323673248291, 5.875725746154785, 3.5235509872436523, 0.6808661818504333, -2.152986764907837]",4.591077443798203
33,<function elu at 0x0000000008D556A8>,1000,4.602494463999298,500,0.001,"[0.7290138006210327, 1.5719138383865356, 0.9960017204284668, 1.9501283168792725, 3.2595508098602295, 5.1971564292907715, 4.1338090896606445, -0.7811901569366455, -3.086656332015991, -3.633378744125366, 4.32169771194458, 0.7936525344848633, 0.9275836944580078, 3.0302751064300537]",4.602494463999298
37,<function elu at 0x0000000008D556A8>,500,4.613683659787258,500,0.005,"[0.5514914989471436, 1.5910271406173706, 1.621424674987793, 2.9045681953430176, 3.394578218460083, 2.2965641021728516, 1.000436782836914, 1.306473731994629, 0.5579497814178467, 2.0306217670440674, 1.7288143634796143, 5.208924770355225, 6.290378093719482, 7.171823978424072]",4.613683659787258
21,<function elu at 0x0000000008D556A8>,1000,4.614161042090403,100,0.0005,"[0.36771345138549805, 1.5852024555206299, 1.5037986040115356, 1.3449777364730835, -0.2482677847146988, -1.1353601217269897, -2.8918633460998535, -2.806821346282959, -0.09536445885896683, 0.025459876284003258, 1.3897351026535034, -0.6036933064460754, -0.5002216100692749, -3.56882905960083]",4.614161042090403
39,<function elu at 0x0000000008D556A8>,1000,4.650008862139339,500,0.005,"[0.5556193590164185, 1.5618358850479126, 1.1203702688217163, 2.2953836917877197, 4.320153713226318, 4.314350605010986, 1.153182864189148, 0.6216188669204712, 1.3707791566848755, 1.5630112886428833, 4.272246837615967, 7.798989772796631, 7.700984001159668, 6.864627361297607]",4.650008862139339
133,<function relu at 0x0000000008D4B400>,500,4.672224823010673,1000,0.005,"[0.2974853813648224, 1.8055627346038818, 1.5722854137420654, 2.8754003047943115, 2.748671770095825, 2.886408805847168, -0.844266951084137, -3.164064407348633, -6.472884654998779, -2.6055727005004883, -3.672032594680786, -6.172434329986572, -7.684603214263916, -9.08581256866455]",4.672224823010673
138,<function relu at 0x0000000008D4B400>,500,4.6840224743724175,1000,0.0005,"[0.7294918894767761, 1.1459228992462158, 1.0786819458007812, 2.2070679664611816, 2.232039451599121, 4.872917175292969, 6.65696907043457, 5.025234222412109, 7.71041202545166, 7.843581676483154, 1.0759249925613403, -7.075730323791504, -9.504627227783203, -7.79873514175415]",4.6840224743724175
58,<function elu at 0x0000000008D556A8>,1000,4.7050486169474,1000,0.001,"[0.7069025039672852, 1.654341697692871, 1.2515736818313599, 2.207087278366089, 3.7219228744506836, 5.229128837585449, 3.2553305625915527, -0.8116908073425293, 2.3058013916015625, 3.6829824447631836, 4.258758068084717, 6.631689548492432, 5.635575771331787, 6.567366600036621]",4.7050486169474
109,<function relu at 0x0000000008D4B400>,500,4.744283641384042,500,0.005,"[1.2293272018432617, 1.4410042762756348, 0.5930345058441162, 2.4273016452789307, 4.265422821044922, 4.160849094390869, 4.410242080688477, 2.8235881328582764, -0.8556236028671265, -4.45051383972168, -6.572947025299072, -7.338773250579834, -6.365163326263428, -2.8971176147460938]",4.744283641384042
140,<function relu at 0x0000000008D4B400>,500,4.79227240053268,1000,0.0005,"[0.6714146137237549, 1.2297608852386475, 1.0484620332717896, 2.942685127258301, 3.2530741691589355, 5.153218746185303, 5.499980926513672, 3.964789390563965, 6.794055938720703, 7.828680515289307, 2.985779285430908, -3.8958401679992676, -5.141683101654053, -1.6981157064437866]",4.79227240053268
38,<function elu at 0x0000000008D556A8>,500,4.793213686583589,500,0.005,"[0.7298581600189209, 1.4884966611862183, 1.28217351436615, 2.734973669052124, 3.6265223026275635, 4.436102390289307, 5.177535057067871, 3.2625856399536133, 3.75264310836792, 6.744800090789795, 5.956493377685547, 8.594032287597656, 7.7138824462890625, 4.752580165863037]",4.793213686583589
13,<function elu at 0x0000000008D556A8>,500,4.801813066132387,100,0.005,"[0.824662446975708, 1.284267544746399, 1.189320683479309, 2.684752941131592, 1.9075332880020142, 5.589467525482178, 6.112785816192627, 0.9736918210983276, -0.6870132684707642, 2.176726818084717, -1.956023097038269, -2.6713755130767822, -6.261158466339111, -3.837419033050537]",4.801813066132387
118,<function relu at 0x0000000008D4B400>,1000,4.8176956195792995,500,0.0005,"[0.6578526496887207, 1.311408519744873, 0.8578886985778809, 2.5167078971862793, 3.88885235786438, 5.535963535308838, 5.405970096588135, 2.780231475830078, 2.9001312255859375, 3.8230886459350586, 2.8137993812561035, -1.5142465829849243, -4.2804274559021, -3.1016476154327393]",4.8176956195792995
14,<function elu at 0x0000000008D556A8>,500,4.82256274556081,100,0.005,"[0.6006795763969421, 1.4521219730377197, 1.4008018970489502, 2.629683017730713, 2.038762092590332, 6.438990116119385, 5.024914264678955, -0.33997318148612976, -0.5081839561462402, -0.6007308959960938, -1.9640803337097168, -0.9725468158721924, -1.2368605136871338, -4.082806587219238]",4.82256274556081
132,<function relu at 0x0000000008D4B400>,500,4.870901193692578,1000,0.005,"[0.8532018065452576, 1.5656633377075195, 2.2372183799743652, 3.426546812057495, 3.7652461528778076, 2.064551591873169, 1.8128422498703003, -1.2145401239395142, -2.4717636108398438, -5.293034553527832, -8.062333106994629, -7.697704315185547, -8.702102661132812, -9.647032737731934]",4.870901193692578
57,<function elu at 0x0000000008D556A8>,1000,4.892306117610879,1000,0.001,"[0.6820684671401978, 1.6218739748001099, 0.9893836975097656, 3.37259578704834, 4.777118682861328, 4.2273783683776855, 2.2088406085968018, -1.9012987613677979, -2.4130427837371826, -1.0937007665634155, -7.3217997550964355, -2.6817660331726074, 5.867779731750488, -3.880784749984741]",4.892306117610879
136,<function relu at 0x0000000008D4B400>,1000,4.9158801460842545,1000,0.005,"[0.6074177026748657, 1.8804923295974731, 1.8888862133026123, 3.7789623737335205, 3.0891332626342773, 3.444211483001709, 0.4349774420261383, -1.0496571063995361, -0.6421549320220947, 1.6657092571258545, 3.001162052154541, -1.73492431640625, -1.7316819429397583, -0.8933126330375671]",4.9158801460842545
142,<function relu at 0x0000000008D4B400>,1000,4.9350144823178175,1000,0.0005,"[0.7992614507675171, 1.3130940198898315, 1.3644448518753052, 3.9597058296203613, 3.925330877304077, 4.559072494506836, 3.1693480014801025, 1.4995341300964355, 4.57154655456543, 6.615262031555176, 0.34916266798973083, -4.770212173461914, -2.8532216548919678, -1.4870775938034058]",4.9350144823178175
102,<function relu at 0x0000000008D4B400>,500,5.03403521562628,500,0.001,"[0.7734973430633545, 1.2943538427352905, 1.569756031036377, 3.434262752532959, 4.523477077484131, 5.449723720550537, 3.6370697021484375, -2.5205583572387695, -0.06277114897966385, 0.45198774337768555, -2.520596742630005, -4.475428104400635, -3.1366283893585205, -2.7207674980163574]",5.03403521562628
108,<function relu at 0x0000000008D4B400>,500,5.107140004489813,500,0.005,"[1.1871744394302368, 1.7617945671081543, 1.6989730596542358, 5.310084819793701, 1.6727656126022339, 2.74176025390625, 2.4659392833709717, 1.0901085138320923, 3.8565306663513184, 1.6894960403442383, 1.054095983505249, -1.2092351913452148, -2.050675630569458, -3.5590386390686035]",5.107140004489813
107,<function relu at 0x0000000008D4B400>,1000,5.145741119722593,500,0.001,"[0.6936538219451904, 1.4406678676605225, 2.03088641166687, 4.941789627075195, 4.107388496398926, 2.610056161880493, 2.868042230606079, -2.4959828853607178, 0.6648605465888977, -0.10331506282091141, 0.18218261003494263, -2.1319782733917236, -3.695186138153076, -3.39972186088562]",5.145741119722593
59,<function elu at 0x0000000008D556A8>,1000,5.1580397549655554,1000,0.001,"[0.7296469807624817, 1.536088228225708, 1.1479326486587524, 4.2281036376953125, 4.906412124633789, 5.099231719970703, 2.612226724624634, 2.251063108444214, -2.456613302230835, 1.9277501106262207, 2.975670576095581, 5.787903308868408, 4.127466201782227, 1.54383385181427]",5.1580397549655554
40,<function elu at 0x0000000008D556A8>,1000,5.166821484428551,500,0.005,"[0.6902013421058655, 1.6300323009490967, 1.1246848106384277, 4.655361175537109, 4.435852527618408, 4.897826194763184, 2.3862223625183105, 4.654287815093994, 3.8042237758636475, 4.158997535705566, 6.557613372802734, 6.571473121643066, 4.918986797332764, 7.656984329223633]",5.166821484428551
139,<function relu at 0x0000000008D4B400>,500,5.195632278632733,1000,0.0005,"[0.7387538552284241, 1.2062209844589233, 1.4541711807250977, 2.796963691711426, 3.6243069171905518, 6.927145481109619, 6.509256839752197, 4.544154644012451, 6.023227214813232, 7.778947830200195, 3.6794955730438232, -2.0166285037994385, -2.8341753482818604, 0.8514847159385681]",5.195632278632733
130,<function relu at 0x0000000008D4B400>,1000,5.216737037081521,1000,0.001,"[1.1654819250106812, 1.3617820739746094, 1.741537094116211, 4.906369209289551, 1.6513700485229492, 4.707417011260986, 5.643787384033203, -0.006106440909206867, 0.18979604542255402, 1.10233473777771, -1.625440001487732, -4.6944780349731445, 0.06322138756513596, 0.02024156227707863]",5.216737037081521
87,<function relu at 0x0000000008D4B400>,1000,5.257972621086947,100,0.005,"[1.0233100652694702, 1.4067789316177368, 1.2912338972091675, 3.8124608993530273, 4.7176713943481445, 5.350743770599365, 5.403233528137207, 2.318695545196533, 5.4530253410339355, 6.882483959197998, 10.409764289855957, 8.265792846679688, 4.933643341064453, -0.7321117520332336]",5.257972621086947
85,<function relu at 0x0000000008D4B400>,500,5.287141455909994,100,0.005,"[1.0128588676452637, 1.5575439929962158, 1.6828064918518066, 2.8501110076904297, 4.021875858306885, 6.028875350952148, 6.6631879806518555, 6.133699417114258, 6.371844291687012, 6.49533748626709, 5.436147689819336, 5.725808620452881, 4.702995300292969, 3.4563872814178467]",5.287141455909994
